season,situation,name,team,pos,gp,toi,cf,ca,cf60,ca60,cf_per,tmcf60,tmca60,tmcf_per,oppcf60,oppca60,oppcf_per,cf60reltm,ca60reltm,cf_per_reltm,csh_per,csv_per,cpdo,totfo,nzfo,dzfo,ozfo,igoals,iassists,ipoints,ishot_per,igoals60,iassists60,ipoints60,ipp,igp,iap,gf,ga,gf60,ga60,gf_per,tmgf60,tmga60,tmgf_per,oppgf60,oppga60,oppgf_per,gf60reltm,ga60reltm,gf_per_reltm
2014-2015,5v5,DMITRY KULIKOV,Florida,D,73,1174:39:00,1054,1005,53.8,51.3,51.2,53.4,51.9,50.7,54.2,54.5,49.9,0.48,-0.61,0.5,4.4,95.8,100.2,1251,486,417,348,2,13,15,3.3,0.1,0.66,0.77,32.6,4.4,28.3,46,42,2.35,2.15,52.3,2.11,2.23,48.6,2.23,2.23,50,0.24,-0.08,3.6
2014-2015,5v5,CHRIS KUNITZ,Pittsburgh,F(LW),74,1022:36:00,1093,835,64.1,49,56.7,55.4,51.3,51.9,54.6,54.1,50.2,8.77,-2.31,4.8,3.9,95.7,99.6,999,363,259,377,7,15,22,5.8,0.41,0.88,1.29,51.2,16.3,34.9,43,36,2.52,2.11,54.4,2.4,2.1,53.4,2.23,2.2,50.3,0.12,0.01,1.1
2014-2015,5v5,EVGENY KUZNETSOV,Washington,F(C),80,904:14:00,768,797,51,52.9,49.1,56.2,51.6,52.2,53.8,54.2,49.8,-5.28,1.28,-3.1,4.6,96.7,101.3,738,256,214,268,4,16,20,4.3,0.27,1.06,1.33,57.1,11.4,45.7,35,26,2.32,1.73,57.4,2.24,2.13,51.2,2.2,2.22,49.7,0.08,-0.41,6.2
2014-2015,5v5,ANDREW LADD,Winnipeg,F(LW),81,1115:51:00,1102,942,59.3,50.7,53.9,53.9,52.5,50.7,55.4,54.3,50.5,5.33,-1.83,3.2,4,96.5,100.5,1246,475,347,424,12,24,36,8.4,0.65,1.29,1.94,81.8,27.3,54.6,44,33,2.37,1.77,57.1,2.23,2.26,49.7,2.33,2.25,50.9,0.14,-0.48,7.5
2014-2015,5v5,BROOKS LAICH,Washington,F(C),66,751:12:00,694,696,55.4,55.6,49.9,54.5,52.1,51.1,55,53.7,50.6,0.97,3.44,-1.2,3.6,96.1,99.7,732,283,237,212,4,11,15,4.6,0.32,0.88,1.2,60,16,44,25,27,2,2.16,48.1,2.24,2.01,52.7,2.25,2.21,50.5,-0.24,0.15,-4.6
2014-2015,5v5,ANTON LANDER,Edmonton,F(C),38,443:27:00,408,432,55.2,58.5,48.6,51.4,57.2,47.4,53.7,54.6,49.6,3.8,1.29,1.2,3.2,94.4,97.6,386,143,125,118,1,10,11,2.3,0.14,1.35,1.49,84.6,7.7,76.9,13,24,1.76,3.25,35.1,1.79,2.83,38.7,2.19,2.24,49.5,-0.03,0.42,-3.6
2014-2015,5v5,GABRIEL LANDESKOG,Colorado,F(LW),82,1174:06:00,1069,1153,54.6,58.9,48.1,45.5,63.5,41.8,56,54,50.9,9.09,-4.53,6.3,4.9,95.8,100.7,1143,382,435,326,13,24,37,8.6,0.66,1.23,1.89,71.2,25,46.2,52,48,2.66,2.45,52,2.29,2.4,48.8,2.36,2.21,51.6,0.37,0.05,3.2
2014-2015,5v5,MAXIM LAPIERRE,Pittsburgh,F(C),80,686:12:00,483,617,42.2,53.9,43.9,53.5,49.5,52,53.3,54.9,49.2,-11.31,4.46,-8.1,3.1,95.1,98.2,595,201,233,161,2,9,11,2.5,0.17,0.79,0.96,73.3,13.3,60,15,30,1.31,2.62,33.3,2,1.85,51.9,2.12,2.24,48.6,-0.68,0.77,-18.5
2014-2015,5v5,ADAM LARSSON,New Jersey,D,64,1056:03:00,793,893,45.1,50.7,47,45.4,50.5,47.4,54.5,54.8,49.9,-0.34,0.28,-0.3,3.9,96.5,100.4,908,345,345,218,3,16,19,3.7,0.17,0.91,1.08,61.3,9.7,51.6,31,31,1.76,1.76,50,1.79,1.93,48,2.25,2.25,50.1,-0.03,-0.17,2
2014-2015,5v5,JOHAN LARSSON,Buffalo,F(LW),39,489:06:00,375,511,46,62.7,42.3,41.1,67.4,37.9,54.5,54.2,50.1,4.94,-4.72,4.5,3.7,97.5,101.2,418,162,137,119,5,7,12,12.8,0.61,0.86,1.47,85.7,35.7,50,14,13,1.72,1.6,51.9,1.69,2.79,37.8,2.23,2.2,50.3,0.03,-1.19,14.1
2014-2015,5v5,BRIAN LASHOFF,Detroit,D,11,128:44:00,112,113,52.2,52.7,49.8,54.1,44.6,54.9,51.5,55.6,48.1,-1.93,8.11,-5.1,5.4,98.2,103.6,127,45,26,56,0,2,2,0,0,0.93,0.93,33.3,0,33.3,6,2,2.8,0.93,75,2.01,2.04,49.6,2.06,2.24,48,0.79,-1.11,25.4
2014-2015,5v5,MICHAEL LATTA,Washington,F(C),53,426:45:00,360,339,50.6,47.7,51.5,55.6,52.8,51.3,52.3,54,49.2,-4.97,-5.11,0.2,3.3,97.6,101,385,145,122,118,0,6,6,0,0,0.84,0.84,50,0,50,12,8,1.69,1.13,60,2.28,2.11,51.9,2.08,2.16,49.1,-0.59,-0.99,8.1
2014-2015,5v5,SCOTT LAUGHTON,Philadelphia,F(LW),31,346:24:00,266,325,46.1,56.3,45,55,54.9,50,54.5,53.5,50.5,-8.94,1.35,-5,3,96.3,99.3,314,129,91,94,0,2,2,0,0,0.35,0.35,25,0,25,8,12,1.39,2.08,40,2.11,2.05,50.7,2.25,2.19,50.8,-0.72,0.03,-10.7
2014-2015,5v5,CURTIS LAZAR,Ottawa,F(C),67,799:22:00,738,710,55.4,53.3,51,54.9,55.3,49.8,53.8,54.5,49.7,0.49,-1.98,1.1,4.2,95.4,99.6,672,257,216,199,6,6,12,6.7,0.45,0.45,0.9,38.7,19.4,19.4,31,33,2.33,2.48,48.4,2.26,2.04,52.6,2.16,2.25,49,0.06,0.43,-4.1
2014-2015,5v5,VINCENT LECAVALIER,Philadelphia,F(C),57,587:04:00,488,566,49.9,57.8,46.3,52.3,56.1,48.2,53.2,55,49.1,-2.4,1.77,-1.9,4.5,95.2,99.7,526,177,149,200,6,9,15,7.8,0.61,0.92,1.53,68.2,27.3,40.9,22,27,2.25,2.76,44.9,1.78,1.91,48.2,2.15,2.26,48.8,0.47,0.85,-3.3
2014-2015,5v5,NICK LEDDY,NY Islanders,D,78,1251:10:00,1363,1082,65.4,51.9,55.8,60.1,57.4,51.1,54,53.9,50.1,5.24,-5.55,4.6,4,96.6,100.6,1132,408,334,390,9,15,24,9.8,0.43,0.72,1.15,43.6,16.4,27.3,55,37,2.64,1.77,59.8,2.72,2.75,49.8,2.23,2.2,50.3,-0.08,-0.97,10
2014-2015,5v5,ANDERS LEE,NY Islanders,F(C),76,901:05:00,1013,860,67.5,57.3,54.1,61.1,55.8,52.3,54,54.2,49.9,6.32,1.5,1.8,4.7,95.7,100.4,852,291,235,326,17,13,30,10.9,1.13,0.87,2,62.5,35.4,27.1,48,37,3.2,2.46,56.5,2.64,2.45,51.9,2.21,2.2,50.2,0.55,0.02,4.5
2014-2015,5v5,DAVID LEGWAND,Ottawa,F(C),80,763:04:00,651,668,51.2,52.5,49.4,56.1,55.5,50.3,53.1,54.4,49.4,-4.9,-2.96,-0.9,3.4,96.9,100.2,745,261,268,216,3,7,10,5.3,0.24,0.55,0.79,45.5,13.6,31.8,22,21,1.73,1.65,51.2,2.16,2.28,48.6,2.12,2.22,48.9,-0.43,-0.63,2.6
2014-2015,5v5,JORI LEHTERA,St. Louis,F(C),75,949:59:00,862,792,54.4,50,52.1,59.5,51.7,53.5,55.2,54.5,50.3,-5.09,-1.72,-1.4,5.9,96.3,102.3,934,309,255,370,11,21,32,14.3,0.69,1.33,2.02,62.8,21.6,41.2,51,29,3.22,1.83,63.8,2.35,2.08,53,2.27,2.23,50.5,0.87,-0.25,10.7
2014-2015,5v5,JOSH LEIVO,Toronto,F(LW),9,67:41:00,65,60,57.6,53.2,52,51.6,58.6,46.8,51.3,54.4,48.5,6.06,-5.41,5.2,4.6,93.3,97.9,68,22,19,27,1,0,1,10,0.89,0,0.89,33.3,33.3,0,3,4,2.66,3.55,42.9,1.91,2.42,44.2,2.1,2.12,49.8,0.75,1.12,-1.3
2014-2015,5v5,JORDAN LEOPOLD,Minnesota,D,43,595:08:00,438,543,44.2,54.7,44.7,52.8,53.9,49.5,54.7,53.3,50.7,-8.67,0.8,-4.8,3,96.7,99.7,509,193,170,146,0,3,3,0,0,0.3,0.3,23.1,0,23.1,13,18,1.31,1.82,41.9,2.44,2.35,51,2.21,2.12,51,-1.13,-0.53,-9
2014-2015,5v5,LUCAS LESSIO,Arizona,F(LW),26,319:29:00,276,290,51.8,54.5,48.8,55.1,58.1,48.7,54.5,54.5,50,-3.22,-3.64,0.1,2.5,94.1,96.7,291,103,81,107,2,3,5,4.7,0.38,0.56,0.94,71.4,28.6,42.9,7,17,1.32,3.19,29.2,1.61,2.54,38.9,2.26,2.21,50.6,-0.3,0.66,-9.7
2014-2015,5v5,KRIS LETANG,Pittsburgh,D,69,1205:48:00,1269,1010,63.1,50.3,55.7,53,50.8,51.1,54.9,53.9,50.4,10.18,-0.54,4.6,4,95.9,100,1188,449,325,414,5,15,20,3.8,0.25,0.75,1,39.2,9.8,29.4,51,41,2.54,2.04,55.4,2.22,2.02,52.5,2.28,2.21,50.8,0.31,0.02,3
2014-2015,5v5,MARK LETESTU,Columbus,F(C),54,527:24:00,363,490,41.3,55.7,42.6,49.3,56,46.8,53.1,55,49.1,-7.98,-0.24,-4.3,4.4,95.3,99.7,517,179,192,146,6,5,11,11.3,0.68,0.57,1.25,68.8,37.5,31.3,16,23,1.82,2.62,41,2.08,2.55,45,2.11,2.2,49,-0.26,0.07,-4
2014-2015,5v5,TREVOR LEWIS,Los Angeles,F(C),73,879:18:00,850,650,58,44.4,56.7,58.8,48.9,54.6,54.5,55.1,49.8,-0.82,-4.51,2,3.4,96.8,100.2,784,303,200,281,8,15,23,6.2,0.55,1.02,1.57,79.3,27.6,51.7,29,21,1.98,1.43,58,2.37,2.05,53.7,2.24,2.27,49.6,-0.4,-0.61,4.3
2014-2015,5v5,JOHN-MICHAEL LILES,Carolina,D,57,904:40:00,876,721,58.1,47.8,54.9,56.2,53.1,51.4,53.1,54.6,49.3,1.92,-5.29,3.5,3.2,96.3,99.5,764,259,230,275,2,13,15,2.9,0.13,0.86,0.99,53.6,7.1,46.4,28,27,1.86,1.79,50.9,1.83,2.57,41.7,2.17,2.19,49.8,0.02,-0.78,9.2
2014-2015,5v5,PETTERI LINDBOHM,St. Louis,D,23,333:16:00,279,273,50.2,49.2,50.5,55.2,51.2,51.8,55.3,54,50.6,-4.93,-2.09,-1.3,3.2,95.6,98.8,306,103,98,105,1,1,2,3.3,0.18,0.18,0.36,22.2,11.1,11.1,9,12,1.62,2.16,42.9,2.53,2.05,55.2,2.25,2.18,50.8,-0.91,0.11,-12.4
2014-2015,5v5,ELIAS LINDHOLM,Carolina,F(C),81,1045:40:00,1061,921,60.9,52.8,53.5,58.3,50.6,53.5,54.2,54.3,50,2.63,2.23,0,2.9,94.8,97.7,1060,377,295,388,11,10,21,8.5,0.63,0.57,1.21,67.7,35.5,32.3,31,48,1.78,2.75,39.2,1.92,2.23,46.3,2.24,2.19,50.6,-0.15,0.53,-7.1
2014-2015,5v5,HAMPUS LINDHOLM,Anaheim,D,78,1318:24:00,1228,1167,55.9,53.1,51.3,54.1,55.8,49.2,54.6,54.7,50,1.79,-2.74,2.1,5,96.5,101.5,1240,451,397,392,5,20,25,7,0.23,0.91,1.14,41,8.2,32.8,61,41,2.78,1.87,59.8,2.26,2.46,47.9,2.22,2.24,49.8,0.52,-0.59,11.9
2014-2015,5v5,JOAKIM LINDSTROM,Toronto,F(C),53,524:13:00,465,446,53.2,51,51,54,53.2,50.4,53.7,54.7,49.6,-0.77,-2.14,0.7,1.7,95.1,96.8,556,205,179,172,2,3,5,4.3,0.23,0.34,0.57,62.5,25,37.5,8,22,0.92,2.52,26.7,2.36,2.24,51.4,2.21,2.25,49.6,-1.45,0.28,-24.7
2014-2015,5v5,BRYAN LITTLE,Winnipeg,F(C),70,934:32:00,926,798,59.5,51.2,53.7,55,51.3,51.7,55.3,54.5,50.4,4.49,-0.1,2,3.9,96.6,100.5,1070,403,300,367,13,16,29,15.1,0.83,1.03,1.86,80.6,36.1,44.4,36,27,2.31,1.73,57.1,2.37,2.08,53.3,2.32,2.25,50.8,-0.06,-0.35,3.9
2014-2015,5v5,BEN LOVEJOY,Pittsburgh,D,60,984:16:00,944,876,57.5,53.4,51.9,54.6,52.7,50.9,54.4,54.7,49.9,2.98,0.68,1,3,96.2,99.2,982,340,320,322,2,9,11,2.8,0.12,0.55,0.67,39.3,7.1,32.1,28,33,1.71,2.01,45.9,2.42,2.36,50.7,2.17,2.26,49,-0.72,-0.34,-4.8
2014-2015,5v5,ADAM LOWRY,Winnipeg,F(LW),80,981:13:00,900,750,55,45.9,54.6,54.5,52.7,50.9,54.7,54.2,50.2,0.49,-6.84,3.7,3.6,95.7,99.3,939,372,259,308,10,8,18,10.6,0.61,0.49,1.1,56.3,31.3,25,32,32,1.96,1.96,50,2.21,1.98,52.7,2.25,2.24,50,-0.25,-0.02,-2.7
2014-2015,5v5,MILAN LUCIC,Boston,F(LW),81,1103:10:00,1072,1021,58.3,55.5,51.2,54.5,52.1,51.1,54.1,54.6,49.8,3.8,3.42,0.1,4.5,96.5,101,936,301,292,343,13,18,31,10.9,0.71,0.98,1.69,64.6,27.1,37.5,48,36,2.61,1.96,57.1,1.87,2.01,48.2,2.23,2.24,49.9,0.75,-0.05,9
2014-2015,5v5,JOFFREY LUPUL,Toronto,F(RW),55,694:10:00,593,753,51.3,65.1,44.1,52.4,58.2,47.4,53.9,54.1,49.9,-1.14,6.89,-3.3,5.7,95.4,101.1,685,252,262,171,8,9,17,10.4,0.69,0.78,1.47,50,23.5,26.5,34,35,2.94,3.03,49.3,1.94,2.54,43.4,2.24,2.17,50.7,1,0.49,5.9
2014-2015,5v5,OLLI MAATTA,Pittsburgh,D,20,321:01:00,306,293,57.2,54.8,51.1,56.8,50.2,53.1,55.3,54.3,50.5,0.42,4.59,-2,4.9,95.9,100.8,336,124,106,106,1,6,7,5.6,0.19,1.12,1.31,46.7,6.7,40,15,12,2.8,2.24,55.6,2.34,1.94,54.7,2.21,2.21,50,0.47,0.31,0.9
2014-2015,5v5,CLARKE MACARTHUR,Ottawa,F(LW),62,795:51:00,757,742,57.1,55.9,50.5,56.7,55.8,50.4,53.7,54.1,49.8,0.34,0.13,0.1,4.4,95.6,99.9,808,281,270,257,9,14,23,9.3,0.68,1.06,1.73,69.7,27.3,42.4,33,33,2.49,2.49,50,2.49,2.32,51.8,2.22,2.23,49.9,-0.01,0.17,-1.8
2014-2015,5v5,ANDREW MACDONALD,Philadelphia,D,58,938:56:00,806,837,51.5,53.5,49.1,54.3,55.8,49.3,54.4,54.1,50.1,-2.8,-2.27,-0.3,3.5,96.5,100,872,288,269,315,1,5,6,2.8,0.06,0.32,0.38,21.4,3.6,17.9,28,29,1.79,1.85,49.1,2.09,2.11,49.7,2.21,2.21,50,-0.3,-0.26,-0.6
2014-2015,5v5,DEREK MACKENZIE,Florida,F(C),82,778:35:00,635,661,48.9,50.9,49,53.5,54,49.8,53.2,54.7,49.3,-4.58,-3.05,-0.8,1.7,95.3,97,791,257,272,262,3,4,7,5.3,0.23,0.31,0.54,63.6,27.3,36.4,11,31,0.85,2.39,26.2,2.4,2.46,49.3,2.14,2.23,49,-1.55,-0.07,-23.2
2014-2015,5v5,NATHAN MACKINNON,Colorado,F(C),64,861:15:00,817,853,56.9,59.4,48.9,46,62.2,42.5,56.2,53.4,51.3,10.92,-2.82,6.4,4.4,96.1,100.5,857,295,300,262,10,19,29,6.3,0.7,1.32,2.02,80.6,27.8,52.8,36,33,2.51,2.3,52.2,2.37,2.49,48.7,2.37,2.18,52.1,0.14,-0.2,3.5
2014-2015,5v5,ANDREW MACWILLIAM,Toronto,D,12,149:14:00,106,157,42.6,63.1,40.3,52.8,58.5,47.4,52.8,56.2,48.4,-10.21,4.6,-7.1,1.9,94.9,96.8,116,42,45,29,0,2,2,0,0,0.8,0.8,100,0,100,2,8,0.8,3.22,20,1.94,2.69,41.9,2.14,2.32,48,-1.13,0.53,-21.9
2014-2015,5v5,MANNY MALHOTRA,Montreal,F(C),58,477:54:00,289,521,36.3,65.4,35.7,54.4,55.9,49.3,53.2,54.4,49.5,-18.14,9.52,-13.7,2.4,97.9,100.3,671,129,440,102,1,3,4,2.4,0.13,0.38,0.5,57.1,14.3,42.9,7,11,0.88,1.38,38.9,2.44,1.91,56.1,2.16,2.24,49.1,-1.56,-0.53,-17.2
2014-2015,5v5,EVGENI MALKIN,Pittsburgh,F(C),69,978:13:00,1033,844,63.4,51.8,55,54.7,50.3,52.1,54.5,54.7,49.9,8.69,1.52,2.9,4.6,95.5,100.1,948,351,260,337,17,22,39,13.3,1.04,1.35,2.39,81.3,35.4,45.8,48,38,2.94,2.33,55.8,2.08,2.03,50.6,2.27,2.22,50.5,0.86,0.3,5.2
2014-2015,5v5,BRAD MALONE,Carolina,F(C),65,617:12:00,466,557,45.3,54.1,45.6,54.1,54,50,53.1,54.8,49.2,-8.78,0.15,-4.5,3.6,95.7,99.3,493,186,173,134,6,8,14,9.5,0.58,0.78,1.36,82.4,35.3,47.1,17,24,1.65,2.33,41.5,1.9,2.6,42.2,2.13,2.18,49.4,-0.24,-0.26,-0.7
2014-2015,5v5,BRANDON MANNING,Philadelphia,D,11,152:37:00,133,129,52.3,50.7,50.8,53.7,54.8,49.5,55.2,52.4,51.3,-1.39,-4.12,1.3,4.5,97.7,102.2,145,55,48,42,0,3,3,0,0,1.18,1.18,50,0,50,6,3,2.36,1.18,66.7,1.92,2,48.9,2.09,2.15,49.3,0.44,-0.82,17.7
2014-2015,5v5,JOSH MANSON,Anaheim,D,28,444:10:00,439,361,59.3,48.8,54.9,54.5,54.3,50.1,55,54.5,50.2,4.84,-5.49,4.8,3.4,96.4,99.8,449,179,130,140,0,3,3,0,0,0.41,0.41,20,0,20,15,13,2.03,1.76,53.6,2.38,2.35,50.3,2.21,2.26,49.5,-0.35,-0.6,3.3
2014-2015,5v5,BRAD MARCHAND,Boston,F(C),77,1041:00:00,1126,872,64.9,50.3,56.4,54.6,52.2,51.1,54.8,54.2,50.3,10.25,-1.97,5.2,3.8,95.2,99,1178,424,381,373,14,16,30,9.5,0.81,0.92,1.73,69.8,32.6,37.2,43,42,2.48,2.42,50.6,1.91,2,48.8,2.29,2.24,50.5,0.57,0.42,1.8
2014-2015,5v5,ALEXEY MARCHENKO,Detroit,D,13,186:12:00,173,125,55.7,40.3,58.1,52.1,46.2,53,56,54,50.9,3.68,-5.91,5.1,2.3,96,98.3,162,65,34,63,0,1,1,0,0,0.32,0.32,25,0,25,4,5,1.29,1.61,44.4,2.07,1.94,51.6,2.11,2.21,48.8,-0.78,-0.33,-7.2
2014-2015,5v5,MARTIN MARINCIN,Edmonton,D,41,668:52:00,605,638,54.3,57.2,48.7,51.9,57.1,47.6,54.6,54.3,50.1,2.38,0.11,1.1,2.8,96.6,99.4,671,248,238,185,1,3,4,2.9,0.09,0.27,0.36,23.5,5.9,17.7,17,22,1.53,1.97,43.6,1.92,3.05,38.6,2.28,2.22,50.6,-0.39,-1.07,5
2014-2015,5v5,ANDREI MARKOV,Montreal,D,81,1429:04:00,1402,1366,58.9,57.4,50.7,54.3,57.3,48.7,54.6,54.2,50.2,4.52,0.04,2,4.4,96.9,101.3,1633,569,549,515,4,15,19,4.2,0.17,0.63,0.8,30.7,6.5,24.2,62,42,2.6,1.76,59.6,2.19,2.01,52.2,2.28,2.24,50.4,0.42,-0.24,7.5
2014-2015,5v5,PATRICK MARLEAU,San Jose,F(C),82,1135:50:00,1155,1128,61,59.6,50.6,59.7,56.1,51.5,55.3,54.4,50.4,1.36,3.46,-0.9,3.5,95.5,99,1218,449,393,376,8,19,27,5.8,0.42,1,1.43,65.9,19.5,46.3,41,51,2.17,2.69,44.6,2.09,2.4,46.6,2.31,2.26,50.5,0.07,0.29,-2
2014-2015,5v5,PATRICK MAROON,Anaheim,F(LW),71,838:44:00,800,735,57.2,52.6,52.1,54.4,54.1,50.1,54.9,54.4,50.2,2.86,-1.52,2,4.8,95.1,99.9,777,308,236,233,7,18,25,7,0.5,1.29,1.79,65.8,18.4,47.4,38,36,2.72,2.58,51.4,2.33,2.18,51.7,2.21,2.25,49.6,0.38,0.39,-0.3
2014-2015,5v5,MATT MARTIN,NY Islanders,F(LW),78,846:28:00,729,690,51.7,48.9,51.4,60.4,58.9,50.6,53,54.4,49.4,-8.72,-9.98,0.7,3.6,95.8,99.4,792,330,254,208,8,6,14,9.3,0.57,0.43,0.99,53.9,30.8,23.1,26,29,1.84,2.06,47.3,2.37,2.69,46.9,2.15,2.2,49.4,-0.53,-0.63,0.4
2014-2015,5v5,PAUL MARTIN,Pittsburgh,D,74,1276:39:00,1188,1057,55.8,49.7,52.9,57.8,51,53.1,54.9,54.5,50.2,-1.93,-1.3,-0.2,4.5,96.7,101.2,1273,496,367,410,3,15,18,6.8,0.14,0.71,0.85,34,5.7,28.3,53,35,2.49,1.65,60.2,2.23,2.23,50,2.28,2.22,50.6,0.26,-0.58,10.2
2014-2015,5v5,ALEC MARTINEZ,Los Angeles,D,56,864:18:00,838,741,58.2,51.4,53.1,58.7,47.4,55.3,53.9,55.6,49.2,-0.52,4.06,-2.3,4.5,96.2,100.8,809,278,266,265,4,11,15,5.2,0.28,0.76,1.04,39.5,10.5,29,38,28,2.64,1.94,57.6,2.17,1.9,53.3,2.19,2.3,48.8,0.47,0.05,4.2
2014-2015,5v5,JORDAN MARTINOOK,Arizona,F(LW),8,87:21:00,108,80,74.2,55,57.5,54.7,58.5,48.3,54.6,54.1,50.2,19.53,-3.51,9.1,2.8,92.5,95.3,76,41,14,21,0,1,1,0,0,0.69,0.69,33.3,0,33.3,3,6,2.06,4.12,33.3,1.54,2.55,37.6,2.39,2.16,52.6,0.52,1.57,-4.3
2014-2015,5v5,STEFAN MATTEAU,New Jersey,F(C),7,82:58:00,49,66,35.4,47.7,42.6,45.1,50.5,47.2,54.5,54.3,50.1,-9.64,-2.75,-4.6,2,98.5,100.5,75,30,27,18,1,0,1,12.5,0.72,0,0.72,100,100,0,1,1,0.72,0.72,50,1.76,1.85,48.8,2.43,2.14,53.2,-1.04,-1.13,1.2
2014-2015,5v5,SHAWN MATTHIAS,Vancouver,F(C),78,886:25:00,746,819,50.5,55.4,47.7,53.8,55.8,49.1,54.8,54.5,50.1,-3.27,-0.41,-1.4,3.8,95.6,99.4,802,258,273,271,16,5,21,13.8,1.08,0.34,1.42,75,57.1,17.9,28,36,1.9,2.44,43.8,2.47,2.44,50.4,2.22,2.24,49.8,-0.58,0,-6.6
2014-2015,5v5,JAMIE MCBAIN,Los Angeles,D,26,275:29:00,262,229,57.1,49.9,53.4,58.8,47.2,55.5,54,54.5,49.8,-1.76,2.71,-2.1,6.1,95.6,101.7,211,77,41,93,2,4,6,18.2,0.44,0.87,1.31,37.5,12.5,25,16,10,3.49,2.18,61.5,2.24,1.82,55.2,2.22,2.18,50.4,1.25,0.36,6.4
2014-2015,5v5,JAY MCCLEMENT,Carolina,F(C),82,881:02:00,664,845,45.2,57.5,44,57.4,51.4,52.8,53.2,54.7,49.3,-12.18,6.14,-8.8,5,95.4,100.4,749,260,290,199,7,14,21,10.3,0.48,0.95,1.43,63.6,21.2,42.4,33,39,2.25,2.66,45.8,1.49,2.4,38.3,2.16,2.19,49.6,0.76,0.26,7.6
2014-2015,5v5,CODY MCCORMICK,Buffalo,F(C),33,308:19:00,186,341,36.2,66.4,35.3,39.6,66.7,37.3,54.8,53,50.9,-3.41,-0.32,-2,2.7,95.6,98.3,271,89,123,59,0,3,3,0,0,0.58,0.58,60,0,60,5,15,0.97,2.92,25,1.62,2.51,39.2,2.23,2.19,50.4,-0.64,0.41,-14.2
2014-2015,5v5,RYAN MCDONAGH,NY Rangers,D,71,1221:23:00,1099,1159,54,56.9,48.7,54,56.2,49,55.1,54.3,50.4,-0.05,0.69,-0.3,5.3,95.9,101.1,1264,444,447,373,5,9,14,5.3,0.25,0.44,0.69,24.1,8.6,15.5,58,48,2.85,2.36,54.7,2.56,1.92,57.1,2.25,2.25,50,0.29,0.44,-2.4
2014-2015,5v5,COLIN MCDONALD,NY Islanders,F(RW),18,184:56:00,177,178,57.4,57.8,49.9,57.9,53.5,52,53.5,55.8,49,-0.5,4.21,-2.1,4.5,93.8,98.3,183,91,51,41,2,6,8,7.1,0.65,1.95,2.6,100,25,75,8,11,2.6,3.57,42.1,2.25,2.3,49.5,2.15,2.37,47.5,0.34,1.26,-7.3
2014-2015,5v5,JAMIE MCGINN,Colorado,F(LW),19,234:02:00,169,256,43.3,65.6,39.8,48.5,62.1,43.9,55.1,54.7,50.2,-5.21,3.54,-4.1,4.7,94.9,99.7,255,92,88,75,3,2,5,11.5,0.77,0.51,1.28,62.5,37.5,25,8,13,2.05,3.33,38.1,2.4,2.38,50.2,2.25,2.25,50.1,-0.34,0.96,-12.1
2014-2015,5v5,TYE MCGINN,Arizona,F(LW),51,501:34:00,437,490,52.3,58.6,47.1,55.9,58.1,49,53.1,55,49.1,-3.58,0.53,-1.9,2.5,97.6,100.1,441,150,145,146,2,4,6,3.4,0.24,0.48,0.72,54.6,18.2,36.4,11,12,1.32,1.44,47.8,1.84,2.42,43.2,2.14,2.25,48.8,-0.52,-0.98,4.7
2014-2015,5v5,BRIAN MCGRATTAN,Calgary,F(RW),8,50:55:00,42,60,49.5,70.7,41.2,48,63.4,43,54.5,54,50.2,1.54,7.26,-1.9,0,96.7,96.7,50,14,17,19,0,0,0,0,0,0,0,0,0,0,0,2,0,2.36,0,1.95,2.34,45.4,2.08,2.19,48.8,-1.95,0.01,-45.4
2014-2015,5v5,CURTIS MCKENZIE,Dallas,F(LW),36,409:10:00,393,385,57.6,56.5,50.5,61.7,55.4,52.7,54.5,54.4,50.1,-4.06,1.08,-2.2,2,95.8,97.9,374,145,105,124,4,1,5,9.8,0.59,0.15,0.73,62.5,50,12.5,8,16,1.17,2.35,33.3,2.79,2.56,52.2,2.22,2.25,49.7,-1.62,-0.21,-18.9
2014-2015,5v5,CODY MCLEOD,Colorado,F(LW),82,743:30:00,482,776,38.9,62.6,38.3,46.4,61.1,43.2,54.1,54,50.1,-7.53,1.47,-4.8,4.8,96.6,101.4,702,247,249,206,6,4,10,7.8,0.48,0.32,0.81,43.5,26.1,17.4,23,26,1.86,2.1,46.9,2.04,2.4,46,2.16,2.22,49.3,-0.18,-0.3,1
2014-2015,5v5,BRANDON MCMILLAN,Vancouver,F(C),58,519:44:00,427,490,49.3,56.6,46.6,53.8,59.2,47.6,54.6,54.6,50,-4.52,-2.63,-1.1,1.9,94.5,96.4,529,199,212,118,1,3,4,2,0.12,0.35,0.46,50,12.5,37.5,8,27,0.92,3.12,22.9,1.78,2.45,42,2.22,2.31,49,-0.85,0.66,-19.2
2014-2015,5v5,BRAYDEN MCNABB,Los Angeles,D,71,979:09:00,973,736,59.6,45.1,56.9,58.7,49.1,54.4,53.8,55.4,49.3,0.97,-4.04,2.5,4,96.6,100.6,847,294,221,332,2,17,19,3.1,0.12,1.04,1.16,48.7,5.1,43.6,39,25,2.39,1.53,60.9,2.3,2.07,52.7,2.15,2.31,48.3,0.09,-0.54,8.3
